,Rec - Storage of bare modules,Rec - Storage of flexes,Rec - PDB checks of bare modules,Rec - PDB checks of flexes,Rec - Metrology and Visual inspection of bare modules,Rec - Metrology and Visual inspection of flexes,Rec - Metrology weights of bare modules,Rec - Metrology weights of flexes,Rec - Sensor IV of bare modules,FA - Glue flex to bare module,FA - visual inspection of module,FA - Metrology weights of module,WB - Prepare wire-bonding requests,WB - Wire-bonding,WB - PDB Upload of wire-bonding pull-test results,I - Warm Electrical Testing,I - Cold Electrical Testing,P - Masking,P - Mask Curing,P - visual inspection after masking,P - Shipping,P - Transit,P - visual inspection after transit,P - Demasking,P - visual inspection after unmasking,P - Post Parylene Warm,P - Post Parylene cold chiller cooldown,P - Post Parylene Cold,P - Post Parylene X-ray,"WBP - Preparation, glue mixing, canopy attachment",WBP - Visual Inspection,WBP - Mass Measurement,WBP - Resistance Measurement,WBP - PDB Upload of visual inspection mass and resistance,WBP - MHT-PFA,TC - Cycle,TC - PDB Upload of thermal cycling data,TC - Back side metrology,TC - PDB Upload of back side metrology,LTS - MHT-PFA,F - Warm,F - Cold,F - X-ray,S - Packaging,S - PDB Shipment of modules to loading sites
2024-12-02 15:23:00,,,,,,,,,,,,,,,,"('Operator7', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-02 15:33:00,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,
2024-12-02 15:43:00,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator10')",,,,,,,,,,,,,,,,,,,,,
2024-12-02 16:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator9')",,
2024-12-02 16:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator3')",
2024-12-02 16:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator1')"
2024-12-02 16:48:00,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator5')",,,,,,,,,,,,,,,,,,,,
2024-12-02 16:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator9')",,,,,,,,,,,,,,,,,
2024-12-02 17:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator1')",,,,,,,,,,,,,,,,,,,
2024-12-02 17:18:00,,,,,,,,,,"('Operator9', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-02 17:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator3')",,,,,,,,,,,,,,,,
2024-12-03 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator10')",,,,,,,,,,,,,,,
2024-12-03 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator7')",,,,,,,,
2024-12-03 09:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator7')",,,,,,,
2024-12-03 09:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator9')",,,,,,
2024-12-03 09:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator8')",,,,,
2024-12-03 10:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator7')",,,,
2024-12-03 10:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator6')",,,,,,,,,,,,,,,,
2024-12-03 11:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator6')",,,,,,,,,,,,,,,
2024-12-03 11:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator7')",,,,,,,,,,,,,,,,,,
2024-12-03 11:32:00,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-03 11:42:00,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-03 11:43:00,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-03 13:00:00,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,
2024-12-03 13:10:00,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,
2024-12-03 13:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator3')",,,,,,,,,,,,,,,,,
2024-12-03 13:40:00,,,,,,,,,,,,,,,,,"('Operator10', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-03 13:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator10')",,,
2024-12-03 14:00:00,,,,,,,,,,,"('Operator7', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-03 14:10:00,,,,,,,,,,,,"('Operator1', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-03 14:12:00,,,,,,,,,,,,,"('Operator10', 'Operator2')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-03 14:32:00,,,,,,,,,,,,,,"('Operator4', 'Operator2')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-03 16:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator3')",,,,,,,,,,,,,,,,
2024-12-03 16:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator1')",,,,,,,,,,,,,,,
2024-12-03 17:02:00,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,
2024-12-03 17:12:00,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator7')",,,,,,,,,,,,,,,,,,,,,
2024-12-03 17:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator7')",,,,,,,,,,,,,,
2024-12-03 17:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator3')",,,,,,,,,,,,,
2024-12-03 17:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator1')",,,,,,,,,,,,
2024-12-04 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator5')",,
2024-12-04 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator5')",
2024-12-04 09:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator7')"
2024-12-04 09:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator1')",,,,,,,,,,,
2024-12-04 09:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator10')",,,,,,,,,,
2024-12-04 10:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator1')",,,,,,,,,
2024-12-04 11:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator3')",,,,,,,,,,,,,,
2024-12-04 11:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator1')",,,,,,,,,,,,,
2024-12-04 11:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator1')",,,,,,,,,,,,
2024-12-04 11:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator1')",,,,,,,,,,,
2024-12-04 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator1')",,,,,,,,,,
2024-12-04 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator8')",,,,,,,,,
2024-12-04 14:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator3')",,,,,,,,,,,,,,
2024-12-04 14:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator3')",,,,,,,,,,,,,
2024-12-04 14:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator1')",,,,,,,,,,,,
2024-12-04 14:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator10')",,,,,,,,,,,
2024-12-04 14:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator7')",,,,,,,,,,
2024-12-04 15:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator5')",,,,,,,,,
2024-12-04 16:03:00,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator8')",,,,,,,,,,,,,,,,,,,,
2024-12-04 16:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator9')",,,,,,,,,,,,,,,,,,,
2024-12-04 16:23:00,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,
2024-12-04 16:33:00,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator1')",,,,,,,,,,,,,,,,,,,,,
2024-12-04 16:53:00,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator10')",,,,,,,,,,,,,,,,,,,,
2024-12-04 17:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator9')",,,,,,,,,,,,,,,,,,,
2024-12-04 17:13:00,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-04 17:23:00,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-04 17:24:00,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-04 17:34:00,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,
2024-12-05 09:00:00,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,
2024-12-05 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator6')",,,,,,,,
2024-12-05 09:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator8')",,,,,,,
2024-12-05 09:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator6')",,,,,,
2024-12-05 09:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator8')",,,,,
2024-12-05 10:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator10')",,,,
2024-12-05 10:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator3')",,,,,,,,
2024-12-05 10:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator9')",,,,,,,
2024-12-05 11:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator10')",,,,,,
2024-12-05 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator10')",,,,,
2024-12-05 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator10')",,,
2024-12-05 14:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator3')",,,,
2024-12-05 14:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator3')",,,,,,,,
2024-12-05 14:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator10')",,,,,,,
2024-12-05 14:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator6')",,,,,,
2024-12-05 14:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator1')",,,,,
2024-12-05 15:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator6')",,,,
2024-12-05 15:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator7')",,,,,,,,,,,,,,,,,,
2024-12-05 16:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator7')",,,,,,,,,,,,,,,,,,
2024-12-05 16:12:00,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,
2024-12-05 16:22:00,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator9')",,,,,,,,,,,,,,,,,,,,,
2024-12-05 16:42:00,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator3')",,,,,,,,,,,,,,,,,,,,
2024-12-05 16:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator5')",,,,,,,,,,,,,,,,,,,
2024-12-05 17:02:00,,,,,,,,,,,,,,,"('Operator7', 'Operator4')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-05 17:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator1')",,,
2024-12-05 17:22:00,,,,,,,,,,,,,,,,"('Operator1', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-05 17:32:00,,,,,,,,"('Operator1', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-05 17:34:00,,,,,,"('Operator8', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator9')",,,,,,,,,,,,,,,,,
2024-12-06 09:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator9')",,
2024-12-06 09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator3')",
2024-12-06 09:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator10')"
2024-12-06 09:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator6')",,
2024-12-06 10:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator1')",
2024-12-06 10:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator5')"
2024-12-06 10:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator10')",,,
2024-12-06 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator9')",,,,,,,,,,,,,,,,,
2024-12-06 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator7')",,,,,,,,,,,,,,,,,,
2024-12-06 11:10:00,,,,,,,,,,,,,,,,,"('Operator1', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 11:20:00,,,,"('Operator8', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 11:30:00,,,"('Operator10', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 11:40:00,,,,,"('Operator3', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator10')",,,,,,,,,,,,,,,,
2024-12-06 13:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator7')",,,,,,,,,,,,,,,
2024-12-06 13:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator9')",,,,,,,,,,,,,,,,,
2024-12-06 13:40:00,,,,,,,"('Operator3', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 13:42:00,,,,,,,,,"('Operator5', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 14:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator7')",,,,,,,,,,,,,,,,
2024-12-06 14:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator10')",,,,,,,,,,,,,,,
2024-12-06 14:32:00,,,,,,,,,,"('Operator3', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 15:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator7')",,
2024-12-06 15:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator10')",
2024-12-06 15:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator9')"
2024-12-06 15:47:00,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,
2024-12-06 15:57:00,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator8')",,,,,,,,,,,,,,,,,,,,,
2024-12-06 16:17:00,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator5')",,,,,,,,,,,,,,,,,,,,
2024-12-06 16:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator8')",,,,,,,,,,,,,,,,,,,
2024-12-06 16:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator9')",,,,,,,,,,,,,,,,
2024-12-06 16:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator3')",,,,,,,,,,,,,,,
2024-12-06 17:07:00,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 17:17:00,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 17:18:00,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 17:28:00,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 17:38:00,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 17:58:00,,,,,,,,"('Operator1', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-09 09:00:00,,,,,,"('Operator8', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-09 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator1')",,,,,,,,,,,,,,
2024-12-09 09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator6')",,,,,,,,,,,,,
2024-12-09 09:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator3')",,,,,,,,,,,,
2024-12-09 09:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator3')",,,,,,,,,,,
2024-12-09 09:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator6')",,,,,,,,,,
2024-12-09 10:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator8')",,,,,,,,,
2024-12-09 11:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator3')",,,,,,,,,,,,,,
2024-12-09 11:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator3')",,,,,,,,,,,,,
2024-12-09 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator7')",,,,,,,,,,,,
2024-12-09 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator10')",,,,,,,,,,,
2024-12-09 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator6')",,,,,,,,,,
2024-12-09 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator6')",,,,,,,,,
2024-12-09 14:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator6')",,,,,,,,,,,,,,
2024-12-09 14:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator3')",,,,,,,,,,,,,
2024-12-09 14:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator3')",,,,,,,,,,,,
2024-12-09 14:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator6')",,,,,,,,,,,
2024-12-09 14:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator3')",,,,,,,,,,
2024-12-09 15:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator10')",,,,,,,,,
2024-12-09 16:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator10')",,,,,,,,,,,,,,,,,,
2024-12-09 16:13:00,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,
2024-12-09 16:23:00,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator9')",,,,,,,,,,,,,,,,,,,,,
2024-12-09 16:43:00,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator6')",,,,,,,,,,,,,,,,,,,,
2024-12-09 16:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator3')",,,,,,,,,,,,,,,,,,,
2024-12-09 17:03:00,,,,,,,,,,,"('Operator9', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-09 17:13:00,,,,,,,,,,,,"('Operator6', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-09 17:15:00,,,,,,,,,,,,,"('Operator4', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-10 09:00:00,,,,,,,,,,,,,,"('Operator10', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-10 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator7')",,,,,,,,
2024-12-10 11:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator7')",,,,,,,
2024-12-10 11:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator6')",,,,,,
2024-12-10 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator1')",,,,,
2024-12-10 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator9')",,,,
2024-12-10 14:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator6')",,,,,,,,
2024-12-10 14:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator6')",,,,,,,
2024-12-10 14:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator9')",,,,,,
2024-12-10 14:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator6')",,,,,
2024-12-10 15:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator1')",,,,
2024-12-10 15:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator6')",,,,,,,,
2024-12-10 15:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator8')",,,,,,,
2024-12-10 16:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator7')",,,,,,
2024-12-10 16:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator6')",,,,,
2024-12-10 17:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator1')",,,
2024-12-10 17:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator3')",,,,
2024-12-10 17:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator6')",,,,,,,,,,,,,,,,,
2024-12-10 17:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator3')",,,,,,,,,,,,,,,,,,
2024-12-10 17:44:00,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,
2024-12-11 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator6')",,,,,,,,,,,,,,,,,,,,,
2024-12-11 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator8')",,
2024-12-11 09:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator5')",
2024-12-11 09:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator8')"
2024-12-11 10:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator5')",,,
2024-12-11 10:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator1')",,,
2024-12-11 10:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator3')",,,,,,,,,,,,,,,,
